gene,geneID,GBM64_poor,GBM76_poor,GBM80_poor,GBM85_poor,GBM108_poor,GBM115_poor,GBM12_good,GBM39_good,GBM59_good
SCARNA4,677771,1.51210757240167,2.05539682845023,1.13695322042295,4.76916062989517,0,4.33561474617882,12.9322917624689,8.5202371284426,0.68120742911981
RXFP4,339403,4.53632271720501,3.08309524267535,62.532427123262,4.76916062989517,16.6118875349546,9.3938319500541,30.1753474457608,0,5.44965943295848
ARHGEF2,9181,18616.3123776232,46586.5968152387,59238.6736436967,22024.6650975173,34879.1008042746,17288.263800388,21769.357800156,16520.7397920502,16143.2536552813
SSR2,6746,20142.0289181764,14503.9077199591,20908.0012469678,19373.0117872956,23456.9623692109,18533.307834999,35658.6391530476,25810.2326155179,33518.1303424111
UBQLN4,56893,12147.5161828888,13418.6581945373,15410.2639496126,9601.68296530181,12409.0799886111,13115.2346071909,10552.7500781746,5062.23803102754,5027.3108269042
LAMTOR2,28956,2178.19095804461,2587.74460701884,3653.03069721892,2235.37371809801,2333.48161373362,2859.33792510493,4500.43753333918,7231.2469685825,4797.0627158617
RAB25,57111,23.4376673722259,3.08309524267535,20.465157967613,17.7140251967535,18.5662272449492,11.5616393231435,12.9322917624689,7.30306039580794,13.6241485823962
MEX3A,92312,16127.38331345,12334.4363675298,23923.7696641396,24862.9969809664,24207.4288178488,12666.4984809614,28472.5956970357,649.972375226907,687.338295981888
LMNA,4000,8103.38448050055,19587.9317751307,9785.18789157008,9010.30704719481,20432.6216679941,10561.5575216916,60492.9501009088,69763.701607688,43428.3360212461
SEMA4A,64218,729.591903683806,130.51769860659,88.1138745827783,733.769428342443,242.338124039337,299.157417486338,133.633681545512,60.8588366317328,190.738080153547
SLC25A44,9673,6083.96481755812,5513.60199231775,8041.10165144128,5558.79736847353,6231.41216531796,6647.94261080752,9121.57645646141,5887.48385575383,4846.79085818745
PMF1,11243,3489.94427710305,2512.72262278041,5143.57636919341,4212.53145352027,4559.47454341753,4171.58398828172,10656.2084122744,5835.14525625054,3121.29244022697
BGLAP,632,290.324653901121,315.503413167111,210.904822388456,215.293537006696,312.694353599145,96.8287293313269,94.8368062581054,2289.50943408579,258.177615636408
PAQR6,79957,3263.88419502901,3609.27683075861,2893.5459459764,5468.86462516694,1021.14249847221,2914.97831434756,314.685766220077,1809.94180142773,550.415602728806
SMG5,23381,16290.6909312694,19925.0168549965,22798.7544525311,17254.8231589607,21375.5905780666,13177.3784185528,24937.7692819609,6990.24597552083,10652.7217765756
TMEM79,84283,702.373967380576,1630.95738337526,1765.68835131683,1308.79393857552,2259.21670475382,770.294219904436,431.076392082297,562.335650477211,724.804704583478
GLMP,112770,912.556919944408,2088.28317770543,422.946597997336,1165.71911967866,4364.04057241807,2208.99571317811,3802.09377816586,3924.17778601413,2882.18863260592
VHLL,391104,1.51210757240167,0,2.84238305105736,1.36261732282719,3.90867941998931,1.44520491539294,0,4.86870693053863,0
CCT3,7203,28390.5757256276,32336.5306035933,35934.5434846876,47877.6035635177,33306.8345075839,36367.8590934056,57630.6028574823,53696.9687369105,24532.3231448917
TSACC,128229,60.4843028960668,43.1633333974549,59.1215674619932,95.3832125979035,119.214722309674,52.0273769541458,21.5538196041149,82.7680178191567,50.4093497548659
RHBG,57127,49.1434961030543,1.02769841422512,18.7597281369786,128.76733700717,50.8128324598611,26.0136884770729,0,2.43435346526931,1.36241485823962
C1orf61,10485,67211.6694856818,43086.256016388,46504.2290983495,23490.160028218,43750.8259177954,60593.8290901374,1396.68751034664,48.6870693053863,1553.83414582229
MIR9-1,407046,25.7058287308284,55.4957143681562,6.82171932253767,19.7579511809943,40.0639640548905,10.1164344077506,8.62152784164595,0,0
MEF2D,4209,3857.38641719666,3791.17945007645,5011.68979562434,3620.47422675185,8540.46453267665,3815.34097663736,5142.74135754181,1926.79076776066,2008.1995010452
IQGAP3,128239,8489.72796524918,7112.70072485202,4871.27607290211,16528.5481258938,7351.2488191449,5605.94986680921,8483.58339617961,3597.97442166805,4545.01596708737
TTC24,164118,329.639450783564,22.6093651129525,217.158065100783,130.129954329997,138.758119409621,63.5890162772893,0,0,0
"NAXE",128240,10066.8561632641,4868.20738818437,6688.69579574819,6990.2268661035,6825.53143715634,7492.66488385469,6164.39240677685,7612.22328589714,10558.7151513571
GPATCH4,54865,3973.81870027159,5161.10143623853,5895.10244789297,3841.89954171127,8243.40489675746,6311.93246797866,8888.79520473697,11806.6143065562,7366.57713850162
HAPLN2,60484,350.808956797187,101.742143008286,410.440112572683,704.473155901659,245.269633604329,404.657376310023,4.31076392082297,29.2122415832318,0
BCAN,63827,101864.638722411,165450.195404516,91671.9696860919,403627.690281257,35914.9008505718,166250.592647142,16492.9827610687,771.690048490372,358.31510771702
NES,10763,40122.2623261059,288092.641062898,65216.7736766806,47722.9464973768,147495.972253007,113460.870100127,276664.828438418,104637.032174404,53046.9849204178
CRABP2,1382,510.336305685564,300.087936953734,201.240720014861,831.877875586001,4538.95397646259,302.770429774821,176.741320753742,1058.94375739215,620.579967928147
ISG20L2,81875,3074.8707484788,2919.69119481355,4200.47367285257,3905.94255588415,4677.71209587221,3563.15271890129,4651.31427056799,3023.46700386449,2903.98727033775
RRNAD1,51093,1982.37302741859,1658.70524055934,2023.20825574263,3921.61265509666,1824.37611928001,2002.33141027692,1551.87501149627,1307.24781084962,1543.61603438549
MRPL24,79590,5643.18546020303,4878.48437232662,5220.32071157196,4391.71563147204,4150.04037417365,5915.94632116099,6750.65630000878,8723.50564279258,9510.33691794167
HDGF,3068,29944.2662562703,23496.2688444288,24929.9732642139,26606.4658455238,36469.9333282103,29292.1358276418,57540.076815145,30076.4370634024,17475.0141792105
PRCC,5546,7519.71095755351,7557.6941382115,9417.38352476326,6248.28173382409,8162.29979879268,9753.68797398694,13147.8299585101,7802.10285618815,8884.98849800968
SH2D2A,9047,65.0206256132718,10.2769841422512,6.82171932253767,74.262644094082,69.3790597048103,6.50342211926822,4.31076392082297,15.8232975242505,10.2181114367971
NTRK1,4914,151.210757240167,10.2769841422512,25.0129708493048,266.391686612716,37.1324544898985,17.3424589847153,30.1753474457608,0,4.08724457471886
INSRR,3645,127.01703608174,8.22158731380092,7.39019593274915,942.931187396417,13.6803779699626,5.05821720387529,8.62152784164595,7.30306039580794,0
PEAR1,375033,66.5327331856735,18.4985714560521,24.4444942390933,131.492571652824,586.301912998397,14.4520491539294,12.9322917624689,30.4294183158664,1.36241485823962
LRRC71,149499,49.1434961030543,19.5262698702772,35.8140264433228,44.9663716532974,20.5205669549439,10.1164344077506,12.9322917624689,8.5202371284426,8.85569657855753
ARHGEF11,9826,9192.85798641595,9355.13866469123,13920.8552308585,8438.6890802688,9753.13232272833,9463.92438845066,14402.2622594696,4401.31106520692,3602.90609261467
MIR765,768220,6.80448407580752,3.08309524267535,1.13695322042295,6.13177795272237,13.6803779699626,2.16780737308941,0,4.86870693053863,2.04362228735943
